Model,RMSE_train,MAE_train,R2_train,RMSE_test,MAE_test,R2_test
Random Forest,0.30967635243838176,0.20196802357903954,0.976129042907132,0.8066877679855883,0.5357231670616113,0.8444486240616325
Decision Tree,0.0011360954701136968,1.6133911465161074e-05,0.9999996787202134,1.0958041928032785,0.565289336492891,0.7129689833047318
Linear Regression,1.4932747517538019,1.2318319418699115,0.44494861522207885,1.5134611829931754,1.253247250305732,0.45247306696222445
